index,section,book,chapter
1,Janeiro,gn,1
1,Janeiro,gn,2
1,Janeiro,gn,3
2,Janeiro,gn,4
2,Janeiro,gn,5
2,Janeiro,gn,6
2,Janeiro,gn,7
3,Janeiro,gn,8
3,Janeiro,gn,9
3,Janeiro,gn,10
3,Janeiro,gn,11
4,Janeiro,gn,12
4,Janeiro,gn,13
4,Janeiro,gn,14
4,Janeiro,gn,15
5,Janeiro,gn,16
5,Janeiro,gn,17
5,Janeiro,gn,18
5,Janeiro,gn,19
6,Janeiro,gn,20
6,Janeiro,gn,21
6,Janeiro,gn,22
7,Janeiro,gn,23
7,Janeiro,gn,24
7,Janeiro,gn,25
8,Janeiro,gn,26
8,Janeiro,gn,27
9,Janeiro,gn,28
9,Janeiro,gn,29
9,Janeiro,gn,30
10,Janeiro,gn,31
10,Janeiro,gn,32
10,Janeiro,gn,33
11,Janeiro,gn,34
11,Janeiro,gn,35
11,Janeiro,gn,36
12,Janeiro,gn,37
12,Janeiro,gn,38
12,Janeiro,gn,39
13,Janeiro,gn,40
13,Janeiro,gn,41
13,Janeiro,gn,42
14,Janeiro,gn,43
14,Janeiro,gn,44
14,Janeiro,gn,45
15,Janeiro,gn,46
15,Janeiro,gn,47
16,Janeiro,gn,48
16,Janeiro,gn,49
16,Janeiro,gn,50
17,Janeiro,ex,1
17,Janeiro,ex,2
17,Janeiro,ex,3
17,Janeiro,ex,4
18,Janeiro,ex,5
18,Janeiro,ex,6
18,Janeiro,ex,7
18,Janeiro,ex,8
19,Janeiro,ex,9
19,Janeiro,ex,10
19,Janeiro,ex,11
20,Janeiro,ex,12
20,Janeiro,ex,13
21,Janeiro,ex,14
21,Janeiro,ex,15
22,Janeiro,ex,16
22,Janeiro,ex,17
23,Janeiro,ex,18
23,Janeiro,ex,19
23,Janeiro,ex,20
24,Janeiro,ex,21
24,Janeiro,ex,22
24,Janeiro,ex,23
25,Janeiro,ex,24
25,Janeiro,ex,25
25,Janeiro,ex,26
25,Janeiro,ex,27
26,Janeiro,ex,28
26,Janeiro,ex,29
27,Janeiro,ex,30
27,Janeiro,ex,31
28,Janeiro,ex,32
28,Janeiro,ex,33
29,Janeiro,ex,34
29,Janeiro,ex,35
29,Janeiro,ex,36
30,Janeiro,ex,37
30,Janeiro,ex,38
31,Janeiro,ex,39
31,Janeiro,ex,40
1,Fevereiro,nm,1
1,Fevereiro,nm,2
1,Fevereiro,nm,3
1,Fevereiro,nm,4
2,Fevereiro,nm,5
2,Fevereiro,nm,6
2,Fevereiro,nm,7
3,Fevereiro,nm,8
3,Fevereiro,nm,9
3,Fevereiro,nm,10
4,Fevereiro,nm,11
4,Fevereiro,nm,12
5,Fevereiro,nm,13
5,Fevereiro,nm,14
6,Fevereiro,nm,15
6,Fevereiro,nm,16
7,Fevereiro,nm,17
7,Fevereiro,nm,18
7,Fevereiro,nm,19
8,Fevereiro,nm,20
8,Fevereiro,nm,21
8,Fevereiro,nm,22
9,Fevereiro,nm,23
9,Fevereiro,nm,24
9,Fevereiro,nm,25
10,Fevereiro,nm,26
10,Fevereiro,nm,27
11,Fevereiro,lv,1
11,Fevereiro,lv,2
11,Fevereiro,lv,3
12,Fevereiro,lv,4
12,Fevereiro,lv,5
12,Fevereiro,lv,6
13,Fevereiro,lv,7
13,Fevereiro,lv,8
14,Fevereiro,lv,9
14,Fevereiro,lv,10
14,Fevereiro,lv,11
15,Fevereiro,lv,12
15,Fevereiro,lv,13
15,Fevereiro,lv,14
16,Fevereiro,lv,15
16,Fevereiro,lv,16
17,Fevereiro,lv,17
17,Fevereiro,lv,18
17,Fevereiro,lv,19
18,Fevereiro,lv,20
18,Fevereiro,lv,21
19,Fevereiro,lv,22
19,Fevereiro,lv,23
19,Fevereiro,lv,24
20,Fevereiro,lv,25
20,Fevereiro,lv,26
20,Fevereiro,lv,27
21,Fevereiro,lv,28
21,Fevereiro,lv,29
21,Fevereiro,lv,30
22,Fevereiro,lv,31
22,Fevereiro,lv,32
23,Fevereiro,lv,33
23,Fevereiro,lv,34
24,Fevereiro,lv,35
24,Fevereiro,lv,36
25,Fevereiro,dt,1
25,Fevereiro,dt,2
25,Fevereiro,dt,3
26,Fevereiro,dt,4
26,Fevereiro,dt,5
26,Fevereiro,dt,6
27,Fevereiro,dt,7
27,Fevereiro,dt,8
27,Fevereiro,dt,9
28,Fevereiro,dt,10
28,Fevereiro,dt,11
28,Fevereiro,dt,12
29,Fevereiro,dt,13
29,Fevereiro,dt,14
1,Março,dt,15
1,Março,dt,16
2,Março,dt,17
2,Março,dt,18
2,Março,dt,19
3,Março,dt,20
3,Março,dt,21
3,Março,dt,22
4,Março,dt,23
4,Março,dt,24
4,Março,dt,25
5,Março,dt,26
5,Março,dt,27
5,Março,dt,28
6,Março,dt,29
6,Março,dt,30
6,Março,dt,31
7,Março,dt,32
7,Março,dt,33
7,Março,dt,34
8,Março,js,1
8,Março,js,2
8,Março,js,3
8,Março,js,4
